item,timestamp,delta_time,file,delta_time_level
http://graphameleon.com#TRACE_5CC7ABADF0807E49F3C33A2B65C9A5B2,2023-07-06 07:18:51.745000+00:00,0.059,output_oct_interarrival_GPL_normal_scenario.ttl.csv,low
http://graphameleon.com#TRACE_B080F07AB4267B8B61E57607C74B1189,2023-07-06 07:18:51.746000+00:00,0.001,output_oct_interarrival_GPL_normal_scenario.ttl.csv,low
http://graphameleon.com#TRACE_423FCE8F9851CF45967B3A5882C2AB60,2023-07-06 07:18:51.746000+00:00,0.0,output_oct_interarrival_GPL_normal_scenario.ttl.csv,low
http://graphameleon.com#TRACE_FE7FC26ECC73060F0741EBD5F3E6233E,2023-07-06 07:18:51.749000+00:00,0.003,output_oct_interarrival_GPL_normal_scenario.ttl.csv,low
http://graphameleon.com#TRACE_529CEB785720517856B7458742A9F1FA,2023-07-06 07:18:55.342000+00:00,3.593,output_oct_interarrival_GPL_normal_scenario.ttl.csv,high
http://graphameleon.com#TRACE_563F0CE92D82206024C81B069E370AFF,2023-07-06 07:18:58.604000+00:00,3.262,output_oct_interarrival_GPL_normal_scenario.ttl.csv,high
http://graphameleon.com#TRACE_3CB2C70C457F773422589D0B49AF5A33,2023-07-06 07:18:58.693000+00:00,0.089,output_oct_interarrival_GPL_normal_scenario.ttl.csv,medium
http://graphameleon.com#TRACE_AF27376159D19839B6835FB47BA264BD,2023-07-06 07:19:07.102000+00:00,8.409,output_oct_interarrival_GPL_normal_scenario.ttl.csv,high
http://graphameleon.com#TRACE_0A9DD7E0290A77A82C9EACFA1B8D6724,2023-07-06 07:19:07.137000+00:00,0.035,output_oct_interarrival_GPL_normal_scenario.ttl.csv,low
http://graphameleon.com#TRACE_1DC73BDF03B0C8F76ABD11E4D32AD0B9,2023-07-06 07:19:07.138000+00:00,0.001,output_oct_interarrival_GPL_normal_scenario.ttl.csv,low
http://graphameleon.com#TRACE_8C6B0DF49476F222E38E83D435EA2D68,2023-07-06 07:19:07.270000+00:00,0.132,output_oct_interarrival_GPL_normal_scenario.ttl.csv,medium
http://graphameleon.com#TRACE_9E7CDB183F03D24293D1CF8789286E75,2023-07-06 07:19:07.369000+00:00,0.099,output_oct_interarrival_GPL_normal_scenario.ttl.csv,medium
http://graphameleon.com#TRACE_C45BF2A56A5D2E6A12FB1E08169D9D59,2023-07-06 07:19:09.866000+00:00,2.497,output_oct_interarrival_GPL_normal_scenario.ttl.csv,high
http://graphameleon.com#TRACE_441803ECA5E393C711D5B787F0C6A228,2023-07-06 07:19:09.874000+00:00,0.008,output_oct_interarrival_GPL_normal_scenario.ttl.csv,low
http://graphameleon.com#TRACE_C5CA8D0C121A87B139A462B3FD05A138,2023-07-06 07:19:11.198000+00:00,1.324,output_oct_interarrival_GPL_normal_scenario.ttl.csv,medium
http://graphameleon.com#TRACE_96E026A624943861C69B58E86D0178DC,2023-07-06 07:19:14.480000+00:00,3.282,output_oct_interarrival_GPL_normal_scenario.ttl.csv,high
http://graphameleon.com#TRACE_DCF7FA5E1BEA2A89DC65F1325D906D3F,2023-07-06 07:19:14.566000+00:00,0.086,output_oct_interarrival_GPL_normal_scenario.ttl.csv,medium
http://graphameleon.com#TRACE_E08FC5A541367EF583CA12838CC44742,2023-07-06 07:19:17.500000+00:00,2.934,output_oct_interarrival_GPL_normal_scenario.ttl.csv,high
http://graphameleon.com#TRACE_3263D082BB6C288AD77900C5B495ACC2,2023-07-06 07:19:17.622000+00:00,0.122,output_oct_interarrival_GPL_normal_scenario.ttl.csv,medium
http://graphameleon.com#TRACE_E29DD8DB05F9D96548E5087D647DA183,2023-07-06 07:19:19.665000+00:00,2.043,output_oct_interarrival_GPL_normal_scenario.ttl.csv,high
http://graphameleon.com#TRACE_1A88821F7B2CB39AC11FA9C52D313627,2023-07-06 07:19:19.760000+00:00,0.095,output_oct_interarrival_GPL_normal_scenario.ttl.csv,medium
http://graphameleon.com#TRACE_F3533AE68762CDCCDDB105C3494BF43B,2023-07-06 07:19:21.696000+00:00,1.936,output_oct_interarrival_GPL_normal_scenario.ttl.csv,high
http://graphameleon.com#TRACE_C9A34B842892C122CCD0234A300730B2,2023-07-06 07:19:24.310000+00:00,2.614,output_oct_interarrival_GPL_normal_scenario.ttl.csv,high
http://graphameleon.com#TRACE_16690C636346FD7B0C350655CE1578FA,2023-07-06 07:19:24.310000+00:00,0.0,output_oct_interarrival_GPL_normal_scenario.ttl.csv,low
http://graphameleon.com#TRACE_457961640FBB06DB14F284FCB5380FE0,2023-07-06 07:19:24.319000+00:00,0.009,output_oct_interarrival_GPL_normal_scenario.ttl.csv,low
http://graphameleon.com#TRACE_CEF3765EE07B14BF38E11C6033DB42BE,2023-07-06 07:19:27.002000+00:00,2.683,output_oct_interarrival_GPL_normal_scenario.ttl.csv,high
http://graphameleon.com#TRACE_80AD28E7D98B7AA62162B88C00D58CD9,2023-07-06 07:27:42.596000+00:00,0.09,output_oct_interarrival_GPL_attack_scenario.ttl.csv,medium
http://graphameleon.com#TRACE_79201A488963C726F9831B650EB5E3EE,2023-07-06 07:27:42.596000+00:00,0.0,output_oct_interarrival_GPL_attack_scenario.ttl.csv,low
http://graphameleon.com#TRACE_E8FD77A03238C3CB4022F51546384CC9,2023-07-06 07:27:42.596000+00:00,0.0,output_oct_interarrival_GPL_attack_scenario.ttl.csv,low
http://graphameleon.com#TRACE_D3654760B9A407E8573818E4DF6757A3,2023-07-06 07:27:42.596000+00:00,0.0,output_oct_interarrival_GPL_attack_scenario.ttl.csv,low
http://graphameleon.com#TRACE_C99FC9144435AE0A97B5A8718EE839AE,2023-07-06 07:27:44.233000+00:00,1.637,output_oct_interarrival_GPL_attack_scenario.ttl.csv,medium
http://graphameleon.com#TRACE_0F1B86855EC172BA7F69B27DE2BD326E,2023-07-06 07:27:47.201000+00:00,2.968,output_oct_interarrival_GPL_attack_scenario.ttl.csv,high
http://graphameleon.com#TRACE_037078F08678E750B65E37E614B703EB,2023-07-06 07:27:47.339000+00:00,0.138,output_oct_interarrival_GPL_attack_scenario.ttl.csv,medium
http://graphameleon.com#TRACE_4FC54806D3264622EDDF7D812C810438,2023-07-06 07:27:52.212000+00:00,4.873,output_oct_interarrival_GPL_attack_scenario.ttl.csv,high
http://graphameleon.com#TRACE_8F06D551A2435DC3E06D85FBB8378598,2023-07-06 07:27:52.301000+00:00,0.089,output_oct_interarrival_GPL_attack_scenario.ttl.csv,medium
http://graphameleon.com#TRACE_7D8B0D4E1C368A648011A6C21CC38E1D,2023-07-06 07:27:52.302000+00:00,0.001,output_oct_interarrival_GPL_attack_scenario.ttl.csv,low
http://graphameleon.com#TRACE_3E6B2DF90791B2389943E24631B8F38C,2023-07-06 07:27:52.431000+00:00,0.129,output_oct_interarrival_GPL_attack_scenario.ttl.csv,medium
